Fecha,Departamento,Municipio,Día,Hora,Barrio,Zona,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Edad,Sexo,Estado civil,País de nacimiento,Clase de empleado,Profesión,Escolaridad,Código DANE,Cantidad
"05/01/2017,""VALLE"",""CALI (CT)"",""Jueves"",""15:03:00"",""CIUDADELA CONFANDI E17"",""URBANA"",""DENTRO DE LA VIVIENDA"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",51,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""EMPLEADO PARTICULAR"",""-"",""SECUNDARIA"",76001000,1"
"06/01/2017,""VALLE"",""CALI (CT)"",""Viernes"",""21:25:00"",""EL POBLADO II E13"",""URBANA"",""PARQUES"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",28,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""EMPLEADO PARTICULAR"",""-"",""SECUNDARIA"",76001000,1"
"07/01/2017,""VALLE"",""CALI (CT)"",""Sábado"",""19:50:00"",""VILLA DEL PRADO - EL GUABITO E5"",""URBANA"",""VIAS PUBLICAS"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",44,""MASCULINO"",""UNION LIBRE"",""COLOMBIA"",""INDEPENDIENTE"",""-"",""SECUNDARIA"",76001000,1"
"07/01/2017,""VALLE"",""CALI (CT)"",""Sábado"",""0:55:00"",""BRISAS DE LOS ALAMOS E2"",""URBANA"",""CANCHA DE FUTBOL"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",19,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""DESEMPLEADO"",""-"",""PRIMARIA"",76001000,1"
"07/01/2017,""VALLE"",""CALI (CT)"",""Sábado"",""23:12:00"",""VILLA BLANCA E13"",""URBANA"",""CANCHA DE FUTBOL"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",15,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""DESEMPLEADO"",""-"",""PRIMARIA"",76001000,1"
"07/01/2017,""VALLE"",""CALI (CT)"",""Sábado"",""23:18:00"",""BRISAS DE LOS ALAMOS E2"",""URBANA"",""VIAS PUBLICAS"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",17,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""DESEMPLEADO"",""-"",""SECUNDARIA"",76001000,1"
"08/01/2017,""VALLE"",""CALI (CT)"",""Domingo"",""23:10:00"",""PASEO DE LOS ALMENDROS E5"",""URBANA"",""DENTRO DE LA VIVIENDA"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",17,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""DESEMPLEADO"",""-"",""SECUNDARIA"",76001000,1"
"08/01/2017,""VALLE"",""CALI (CT)"",""Domingo"",""1:20:00"",""SAN PASCUAL E3"",""URBANA"",""VIAS PUBLICAS"",""ARMA BLANCA / CORTOPUNZANTE"",""A PIE"",""A PIE"",34,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""DESEMPLEADO"",""-"",""SECUNDARIA"",76001000,1"
"08/01/2017,""VALLE"",""CALI (CT)"",""Domingo"",""20:55:00"",""PETECUY I E6"",""URBANA"",""VIAS PUBLICAS"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",18,""FEMENINO"",""SOLTERO"",""COLOMBIA"",""DESEMPLEADO"",""-"",""SECUNDARIA"",76001000,1"
"08/01/2017,""VALLE"",""CALI (CT)"",""Domingo"",""4:45:00"",""LOS CHORROS E18"",""URBANA"",""VIAS PUBLICAS"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",26,""MASCULINO"",""UNION LIBRE"",""COLOMBIA"",""EMPLEADO PARTICULAR"",""-"",""SECUNDARIA"",76001000,1"
"08/01/2017,""VALLE"",""CALI (CT)"",""Domingo"",""18:47:00"",""VALLADO E15"",""URBANA"",""VIAS PUBLICAS"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",17,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""DESEMPLEADO"",""-"",""SECUNDARIA"",76001000,1"
"08/01/2017,""VALLE"",""CALI (CT)"",""Domingo"",""22:46:00"",""SECTOR ALTO LOS CHORROS E18"",""URBANA"",""CASAS DE HABITACION"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",24,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""INDEPENDIENTE"",""-"",""SECUNDARIA"",76001000,1"
"09/01/2017,""VALLE"",""CALI (CT)"",""Lunes"",""10:05:00"",""SUCRE E9"",""URBANA"",""VIAS PUBLICAS"",""ARMA BLANCA / CORTOPUNZANTE"",""A PIE"",""A PIE"",24,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""DESEMPLEADO"",""-"",""SECUNDARIA"",76001000,1"
"10/01/2017,""VALLE"",""CALI (CT)"",""Martes"",""18:30:00"",""EL JARDIN E11"",""URBANA"",""VIAS PUBLICAS"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",24,""MASCULINO"",""UNION LIBRE"",""COLOMBIA"",""INDEPENDIENTE"",""-"",""SECUNDARIA"",76001000,1"
"10/01/2017,""VALLE"",""CALI (CT)"",""Martes"",""18:47:00"",""EL RODEO E12"",""URBANA"",""FRENTE A RESIDENCIAS - VIA PUBLICA"",""ARMA DE FUEGO"",""BICICLETA"",""A PIE"",18,""FEMENINO"",""SOLTERO"",""COLOMBIA"",""ESTUDIANTE"",""-"",""PRIMARIA"",76001000,1"
"11/01/2017,""VALLE"",""CALI (CT)"",""Miércoles"",""1:27:00"",""LOS NARANJOS I E14"",""URBANA"",""VIAS PUBLICAS"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",17,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""DESEMPLEADO"",""-"",""SECUNDARIA"",76001000,1"
"11/01/2017,""VALLE"",""CALI (CT)"",""Miércoles"",""22:13:00"",""SAN PEDRO CLAVER E11"",""URBANA"",""VIAS PUBLICAS"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",35,""FEMENINO"",""UNION LIBRE"",""COLOMBIA"",""DESEMPLEADO"",""-"",""SECUNDARIA"",76001000,1"
"12/01/2017,""VALLE"",""CALI (CT)"",""Jueves"",""12:30:00"",""ANTONIO NARIÑO E16"",""URBANA"",""VIAS PUBLICAS"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",16,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""DESEMPLEADO"",""-"",""PRIMARIA"",76001000,1"
"12/01/2017,""VALLE"",""CALI (CT)"",""Jueves"",""19:16:00"",""LOS LIDERES E21"",""URBANA"",""VIAS PUBLICAS"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",18,""MASCULINO"",""SOLTERO"",""COLOMBIA"",""DESEMPLEADO"",""-"",""SECUNDARIA"",76001000,1"
"12/01/2017,""VALLE"",""CALI (CT)"",""Jueves"",""21:56:00"",""CIUDAD CORDOBA E15"",""URBANA"",""VIAS PUBLICAS"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",21,""FEMENINO"",""SOLTERO"",""COLOMBIA"",""EMPLEADO PARTICULAR"",""-"",""SECUNDARIA"",76001000,1"
"12/01/2017,""VALLE"",""CALI (CT)"",""Jueves"",""21:56:00"",""CIUDAD CORDOBA E15"",""URBANA"",""VIAS PUBLICAS"",""ARMA DE FUEGO"",""A PIE"",""A PIE"",24,""MASCULINO"",""UNION LIBRE"",""COLOMBIA"",""EMPLEADO PARTICULAR"",""ADMINISTRACION  DE EMPRESAS"",""SUPERIOR"",76001000,1"
